# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
300.0000,4799,
300.1000,490,
300.2000,4267,
300.3000,772,
300.4000,6146,
300.5000,3858,
300.6000,4743,
300.7000,5933,
300.8000,1444,
300.9000,6156,
301.0000,5336,
301.1000,8214,
301.2000,260,
301.3000,3810,
301.4000,8580,
301.5000,6139,
301.6000,3527,
301.7000,8518,
301.8000,4732,
301.9000,287,
302.0000,641,
302.1000,557,
302.1080,146,Fe T
302.2080,4530,
302.3080,2887,
302.4080,746,
302.5080,6602,
302.6080,2706,
302.7080,8537,
302.8080,4985,
302.9080,3155,
303.0080,5028,
303.1080,4503,
303.2080,9197,
303.3080,2679,
303.4080,7513,
303.5080,9057,
303.6080,6051,
303.7080,1106,
303.8080,1849,
303.9080,792,
304.0080,7601,
304.1080,6424,
304.2080,1939,
304.3080,7201,
304.4080,5244,
304.5080,356,
304.6080,7405,
304.7080,2679,
304.8080,3062,
304.9080,8055,
305.0080,2203,
305.1080,4759,
305.2080,9346,
305.3080,552,
305.4080,6675,
305.5080,6795,
305.6080,5581,
305.7080,3892,
305.8080,448,
305.9080,145,
306.0080,5168,
306.1080,6910,
306.2080,5407,
306.3080,6102,
306.4080,4744,
306.5080,1268,
306.6080,4715,
306.7080,1292,
306.8080,7448,
306.9080,8685,
307.0080,8117,
307.1080,7931,
307.2080,612,
307.3080,3586,
307.4080,2749,
307.5080,4029,
307.6080,7023,
307.7080,7645,
307.8080,1946,
307.9080,8539,
308.0080,3570,
308.1080,7934,
308.2080,1066,
308.3080,4321,
308.4080,5978,
308.5080,7376,
308.6080,7793,
308.7080,1199,
308.8080,647,
308.9080,7169,
309.0080,7764,
309.1080,222,
309.2080,3162,
309.3080,255,
309.4080,4860,
309.5080,2716,
309.6080,2204,
309.7080,1292,
309.8080,2490,
309.9080,2327,
310.0080,1532,
310.1080,5648,
310.2080,4712,
310.3080,7919,
310.4080,8463,
310.5080,498,
310.6080,6203,
310.7080,4777,
310.8080,9359,
310.9080,2837,
311.0080,1239,
311.1080,7766,
311.2080,572,
311.3080,5391,
311.4080,1470,
311.5080,4439,
311.6080,8176,
311.7080,6561,
311.8080,7371,
311.9080,7869,
312.0080,8292,
312.1080,4430,
312.2080,1512,
312.3080,2497,
312.4080,4197,
312.5080,1365,
312.6080,7672,
312.7080,6567,
312.8080,4560,
312.9080,3025,
313.0080,8648,
313.1080,2729,
313.2080,475,
313.3080,2888,
313.4080,393,
313.5080,7367,
313.6080,5880,
313.7080,6353,
313.8080,5714,
313.9080,7743,
314.0080,8220,
314.1080,4914,
314.2080,8859,
314.3080,7958,
314.4080,1294,
314.5080,1107,
314.6080,8580,
314.7080,790,
314.8080,2510,
314.9080,9491,
315.0080,2602,
315.1080,7263,
315.2080,4655,
315.3080,5617,
315.4080,5863,
315.5080,5036,
315.6080,8728,
315.7080,1510,
315.8080,2967,
315.9080,2331,
316.0080,3733,
316.1080,6285,
316.2080,7713,
316.3080,1217,
316.4080,2173,
316.5080,2622,
316.6080,7230,
316.7080,9458,
316.8080,5609,
316.9080,6592,
317.0080,8557,
317.1080,8969,
317.2080,824,
317.3080,9050,
317.4080,6551,
317.5080,5214,
317.6080,8328,
317.7080,6556,
317.8080,3021,
317.9080,2945,
318.0080,3632,
318.1080,6371,
318.2080,1408,
318.3080,1589,
318.4080,4001,
318.5080,5089,
318.6080,2119,
318.7080,7389,
318.8080,1986,
318.9080,9445,
319.0080,2271,
319.1080,4932,
319.2080,3159,
319.3080,4002,
319.4080,2270,
319.5080,2066,
319.6080,614,
319.7080,433,
319.8080,6430,
319.9080,5528,
320.0080,7750,
320.1080,7312,
320.2080,8035,
320.3080,8830,
320.4080,8289,
320.5080,6217,
320.6080,8757,
320.7080,759,
320.8080,4481,
320.9080,4856,
321.0080,6359,
321.1080,5806,
321.2080,4063,
321.3080,5682,
321.4080,396,
321.5080,7738,
321.6080,6312,
321.7080,399,
321.8080,4987,
321.9080,6949,
322.0080,8420,
322.1080,8244,
322.2080,265,
322.3080,4366,
322.4080,9075,
322.5080,3630,
322.6080,4664,
322.7080,1303,
322.8080,660,
322.9080,3106,
323.0080,1260,
323.1080,6803,
323.2080,7328,
323.3080,1432,
323.4080,2040,
323.5080,8244,
323.6080,3474,
323.7080,7223,
323.8080,3606,
323.9080,586,
324.0080,7506,
324.1080,6547,
324.2080,2702,
324.3080,440,
324.4080,5907,
324.5080,6545,
324.6080,6637,
324.7080,6914,
324.8080,6246,
324.9080,8316,
325.0080,7864,
325.1080,5467,
325.2080,7636,
325.3080,7035,
325.4080,4604,
325.5080,9060,
325.6080,7324,
325.7080,3294,
325.8080,5264,
325.9080,3070,
326.0080,8750,
326.1080,7538,
326.2080,8341,
326.3080,5931,
326.4080,6539,
326.5080,1363,
326.6080,9403,
326.7080,4953,
326.8080,5053,
326.9080,5469,
327.0080,7453,
327.1080,2071,
327.2080,551,
327.3080,4366,
327.4080,6139,
327.5080,9451,
327.6080,3466,
327.7080,7000,
327.8080,8087,
327.9080,8218,
328.0080,7756,
328.1080,7179,
328.2080,8696,
328.3080,8316,
328.4080,8653,
328.5080,7365,
328.6080,4130,
328.7080,1300,
328.8080,5704,
328.9080,8597,
329.0080,9177,
329.1080,6270,
329.2080,1361,
329.3080,7760,
329.4080,8852,
329.5080,5800,
329.6080,9059,
329.7080,6470,
329.8080,6489,
329.9080,2884,
330.0080,9379,
330.1080,9509,
330.2080,1906,
330.3080,7157,
330.4080,8626,
330.5080,5545,
330.6080,1782,
330.7080,5187,
330.8080,4680,
330.9080,6833,
331.0080,7482,
331.1080,4880,
331.2080,6785,
331.3080,5141,
331.4080,1856,
331.5080,8322,
331.6080,9025,
331.7080,4952,
331.8080,4124,
331.9080,1764,
332.0080,8325,
332.1080,9237,
332.2080,8638,
332.3080,1735,
332.4080,1676,
332.5080,7770,
332.6080,9090,
332.7080,8876,
332.8080,9245,
332.9080,4377,
333.0080,6318,
333.1080,8918,
333.2080,1334,
333.3080,6446,
333.4080,6017,
333.5080,5313,
333.6080,6997,
333.7080,7325,
333.8080,6547,
333.9080,6226,
334.0080,8263,
334.1080,8115,
334.2080,6007,
334.3080,8905,
334.4080,7108,
334.5080,7105,
334.6080,8717,
334.7080,8324,
334.8080,6643,
334.9080,578,
335.0080,6339,
335.1080,6972,
335.2080,1094,
335.3080,5084,
335.4080,1818,
335.5080,8242,
335.6080,2363,
335.7080,8718,
335.8080,5398,
335.9080,2107,
336.0080,1401,
336.1080,2057,
336.1120,1387,Ti+ P
336.2120,2390,
336.3120,8633,
336.4120,9353,
336.5120,8744,
336.6120,2333,
336.7120,763,
336.8120,3730,
336.9120,3379,
337.0120,7433,
337.1120,4947,
337.2120,578,
337.3120,6785,
337.4120,5401,
337.5120,7819,
337.6120,7923,
337.7120,7350,
337.8120,8318,
337.9120,7924,
338.0120,567,
338.1120,2106,
338.2120,8145,
338.3120,8866,
338.4120,6897,
338.5120,8831,
338.6120,8633,
338.7120,8656,
338.8120,5066,
338.9120,6956,
339.0120,7906,
339.1120,2074,
339.2120,4213,
339.3120,1409,
339.4120,6981,
339.5120,8076,
339.6120,7019,
339.7120,8918,
339.8120,9546,
339.9120,7612,
340.0120,7722,
340.1120,7021,
340.2120,6814,
340.3120,8135,
340.4120,7725,
340.5120,311,
340.6120,5437,
340.7120,7720,
340.8120,6982,
340.9120,4385,
341.0120,7093,
341.1120,2303,
341.2120,8455,
341.3120,585,
341.4120,5395,
341.5120,4968,
341.6120,8286,
341.7120,3265,
341.8120,6001,
341.9120,4081,
342.0120,6798,
342.1120,7103,
342.2120,2028,
342.3120,7598,
342.4120,7470,
342.5120,8362,
342.6120,7619,
342.7120,373,
342.8120,6318,
342.9120,8172,
343.0120,8320,
343.1120,8659,
343.2120,6712,
343.3120,5449,
343.4120,3481,
343.5120,8545,
343.6120,3146,
343.7120,3070,
343.8120,6857,
343.9120,7315,
